fourSeven	sevenNine	fourNine	fourSevenNine
MATN2	0.0357142857142857	0	0.0357142857142857	0.0238095238095238
HBM	0	0	0	0
RPS4Y1	264.5	243.4375	269.9375	259.291666666667
TTC3	86.1071428571429	96.0625	152.169642857143	111.446428571429
MORF4L2	84.6428571428571	89.78125	174.424107142857	116.282738095238
OSTC	319.581168831169	172.764204545455	309.254464285714	267.199945887446
C11orf58	167.496753246753	175.724431818182	223.584821428571	188.935335497835
EIF3F	201.266233766234	142.471590909091	225.919642857143	189.885822510823
HMGB1	192.646103896104	209.681818181818	214.964285714286	205.764069264069
CALU	159.340909090909	171.965909090909	60.125	130.477272727273
HNRNPC	100.11038961039	144.900568181818	197.647321428571	147.55275974026
CCT3	171.87012987013	160.602272727273	114.017857142857	148.830086580087
DDIT4	86.8506493506493	56.1363636363636	30.7142857142857	57.9004329004329
PLAT	0	0	0	0
PRKDC	157.724025974026	199.639204545455	254.272321428571	203.878517316017
PECAM1	128.409090909091	133.221590909091	4.8125	88.8143939393939
VDAC3	161.681818181818	223.588068181818	140.90625	175.392045454545
HMGB2	78.9707792207792	90.9261363636364	125.169642857143	98.3555194805195
RHOC	78.8084415584416	58.8977272727273	53.1607142857143	63.6222943722944
KDR	137.909090909091	137.940340909091	0.03125	91.9602272727273
NDUFA4	236.698051948052	285.778409090909	312.294642857143	278.257034632035
CCT7	42.7142857142857	78.3125	61.0267857142857	60.6845238095238
NOP58	70.0324675324675	97.5369318181818	64.9330357142857	77.5008116883117
ELMO1	279.538961038961	126.463068181818	227.638392857143	211.213474025974
HMGN1	174.016233766234	269.659090909091	260.857142857143	234.844155844156
VAPA	131.191558441558	131.696022727273	108.433035714286	123.773538961039
APEX1	71.1461038961039	120.025568181818	103.808035714286	98.3265692640693
GRN	83.1688311688312	14.6107954545455	68.8705357142857	55.5500541125541
MADCAM1	105.045454545455	105.045454545455	0	70.030303030303
NAB1	3.28571428571429	9.9375	13.2232142857143	8.81547619047619
ZNF207	129.672077922078	147.792613636364	44.1919642857143	107.218885281385
CCT5	121.519480519481	71.7784090909091	72.1160714285714	88.4713203463204
TMED10	247.022727272727	105.647727272727	226.125	192.931818181818
TSPAN7	74.6201298701299	111.727272727273	85.8928571428571	90.7467532467532
PRDX1	162.191558441558	181.289772727273	119.026785714286	154.169372294372
HADH	17.4642857142857	3.40625	20.8705357142857	13.9136904761905
PRDX6	274.581168831169	168.232954545455	210.723214285714	217.845779220779
HNRNPK	21.7564935064935	11.8323863636364	25.8616071428571	19.816829004329
CD93	216.454545454545	217.110795454545	0.65625	144.74053030303
CTNNA1	88.0844155844156	92.3835227272727	28.0133928571429	69.4937770562771
AHNAK	36.5097402597403	36.7954545454545	4.21428571428571	25.8398268398268
CCND2	110.353896103896	111.568181818182	35.2857142857143	85.7359307359307
SRSF7	128.353896103896	178.130681818182	132.848214285714	146.444264069264
HIGD1B	0	1.75	1.75	1.16666666666667
RPS13	333.428571428571	327.9375	328.366071428571	329.910714285714
SPARCL1	24.4545454545455	24.4545454545455	0	16.3030303030303
PDCD6	140.519480519481	130.809659090909	148.147321428571	139.825487012987
IER2	99.2662337662338	82.5340909090909	83.9821428571429	88.5941558441558
LAPTM4A	62.6558441558442	37.1960227272727	98.3973214285714	66.0830627705628
EIF3E	155.762987012987	127.914772727273	191.223214285714	158.300324675325
ILK	145.048701298701	131.414772727273	45.0089285714286	107.157467532468
RPN1	76.0324675324675	84.2869318181818	75.6830357142857	78.6674783549784
LAMB1	48.4805194805195	72.5965909090909	81.2589285714286	67.4453463203463
YWHAB	167.353896103896	204.474431818182	122.191964285714	164.673430735931
EIF3I	107.405844155844	86.7897727272727	131.741071428571	108.645562770563
SOX4	146.068181818182	224.974431818182	133.40625	168.149621212121
PDHB	55.1168831168831	80.9829545454545	76.0089285714286	70.7029220779221
CANX	82.0487012987013	81.3210227272727	135.915178571429	99.7616341991342
RPL23A	353.211038961039	374.849431818182	346.424107142857	358.161525974026
CAPZA2	229.262987012987	234.352272727273	180.160714285714	214.591991341991
RPS27	330.376623376623	359.434659090909	345.629464285714	345.146915584416
PSMA6	92.4350649350649	118.051136363636	169.758928571429	126.748376623377
ATXN10	151.938311688312	140.545454545455	88.3928571428571	126.958874458874
TCF4	22.5324675324675	27.9431818181818	15.8392857142857	22.1049783549784
HLA-B	124.282467532468	124.474431818182	1.12053571428571	83.2924783549784
CYB5A	269.597402597403	115.454545454545	289.142857142857	224.731601731602
SDPR	10.7987012987013	8.22727272727273	2.57142857142857	7.1991341991342
IDH2	68.8928571428571	85.4375	104.330357142857	86.2202380952381
RPL12	364.149350649351	366.801136363636	273.223214285714	334.724567099567
C2orf28	297.383116883117	265.548295454545	255.022321428571	272.651244588745
RPL29	339.668831168831	318.048295454545	357.808035714286	338.508387445887
BTF3	280.077922077922	230.301136363636	300.651785714286	270.343614718615
AMBP	187.642857142857	39.8125	227.455357142857	151.636904761905
PAIP2	158.090909090909	137.090909090909	137	144.060606060606
ATP5L	263.38961038961	303.880681818182	334.633928571429	300.63474025974
RSU1	109.831168831169	114.170454545455	30.9107142857143	84.9707792207792
GMNN	101.678571428571	228.03125	329.709821428571	219.806547619048
EEF1B2	192.493506493507	176.917613636364	179.138392857143	182.849837662338
